	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
2294	45244	1456	bndpre	en4wcn7	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	no one's said it yet soooo. collect 139,377 brown rocks defeat ug-thak, lord of skags pilfer lost staff of mount schuler defeat destroyer of worlds dance, dance, baby, then collect that money.
2295	45244	444	bndpre	en4twz4	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	travel the grand line and find the one piece obv
2296	45244	958	bndpre	en4n825	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	marry him and then divorce him
2297	45244	712	bndpre	en4p6r6	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	complete these three tasks - beat minecraft on hardcore mode - turn $5 into $1000 just though betting on professional sports - win a national poetry competition
2298	45244	4285	bndpre	en4npzp	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	get the dick pics of the people who claimed to have his.
2299	45244	42	bndpre	en5ixlk	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	hunger games but in an amazon wearhouse and everything inside is fair game
2300	45244	109	bndpre	en4vnd0	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	real life hunger games ? with that much money it might be possible for him to make it
2301	45244	455	bndpre	en4sidy	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	travel back in time, marry him, and then divorce him to get half.
2302	45244	105	bndpre	en4y5t6	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	fastest person from the source of the amazon to the ocean.
2303	45244	238	bndpre	en4szy0	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	split between everyone who paid all their taxes.
2304	45244	166	bndpre	en4q002	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	catching yoshi commiting tax fraud
2305	45244	54	bndpre	en50hl6	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	the warehouse worker who filled the most orders, because that's how he made the money anyway.
2306	45244	19	bndpre	en4v8t1	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	is able to navigate amazon prime video.
2307	45244	139	bndpre	en4u7kf	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	who can evade their taxes the best
2308	45244	39	bndpre	en4sc6r	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	whoever builds an oneill colony in space first
2309	45244	14	bndpre	en4vyc2	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	work in his distribution center without days off full time
2310	45244	97	bndpre	en4pvk5	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	tax avoidance.
2311	45244	34	bndpre	en5db8l	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	one random chrome user is chosen at random and all they have to do to claim their prize is to answer a survey.
2312	45244	19	bndpre	en4w77x	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	[deleted]
2313	45244	19	bndpre	en4z4pz	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	eating jeff bezos. you are what you eat.
2314	45244	27	bndpre	en4vxff	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	who ever can shoot down the most amazon drones
2315	45244	32	bndpre	en51590	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	solve global warming. maybe someone in power would actually take it fucking seriously if they knew money was involved.
2316	45244	23	bndpre	en5mmnc	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	this will get buried, but probably a challenge to write then most rave reviews for amazon products youve never owned.
2317	45244	9	bndpre	en59dj6	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	whomever had to touch his naked weiner the most
2318	45244	5	bndpre	en5lv91	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	give it to whoever solves the climate crisis.
2319	45244	13	bndpre	en56m4u	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	no fap november as pornhub admin.
2320	45244	53	bndpre	en51r1q	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	make a trillion dollar company, yet still pay your employees so little that some of them live out of their car.
2321	45244	16	bndpre	en58apr	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	destroy the last remaining small businesses
